Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
kids-air-hostess-costume,"Kids Air Hostess Kids Costume","Very cool, vintage Kids Air Hostess Kids Costume fancy dress hat. This air stewardess hat comes in the same color as the uniform and embroidered symbol on the side. 

Fits from Ages 3 - 8 Years
Includes: a burgundy coat, skirt, hat and a multicolored silk feel scarf.
Costume details include lined fabric jacket that boasts gold-toned buttons and easy velcro closure; jacket and hat have emblem for added effect.


Shirt Length:  ~42 cmShirt Sleeves: ~42cmSkirt length:  ~33 cmSkirt waist:   ~29 cm","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,90.00,70.00,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/kids-airhostess-costume-dubai-uae.jpg?v=1581596749
airhostess-uniform-dubai-emirates-brown-costume,"Air Hostess Dubai Uniform Brown Costume","A high quality of woven cotton will form  AIR HOSTESS costume which you will wear to act as desired character. Includes Cap and Scarf as in the picture.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151107267239461airhostess-ek.jpg?v=1581540983
halloween-dress-up-headband-wings,"Halloween Headband & Wings Kids Costumes Dress up","Halloween Dress up Headband &amp; Wings *Minimum order for Halloween accessories should be AED 30","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,35.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/15081781957987499649-wings.jpg?v=1581541995
navy-kids-costume,"Navy Police White Uniform Kids Costume","A high quality of polyester fabric will form a captain / navy costume.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/navy-kids-costume.jpg?v=1581542731
kids-chef-baking-cooking-costume,"Kids Chef Baking Cooking Costume","One Size Fits All from Ages 3-7 years.





Coat length - 

 20 inches




Cap Circumference - 


 ~21 inches








Cooking is an art, an art you can master in this Master Chef costume.
Chef costume with red-gingham accents and realistic accessories to stir up imaginations
High-quality fabrics and construction ensure durability
Includes chef jacket, hat, oven mitt, three wooden utensils, plastic measuring spoons
Machine-washable costume and wipe-clean accessories","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,65.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/chef_6cdf3808-c82c-4a1a-b0ce-b20108da25a0.jpg?v=1581596963
egyptian-boy-costume,"Egyptian Boy Costume","Walk like an Egyptian Emperor with this fantastic Egyptian Boy fancy dress costume, the perfect outfit for turning your little boy into the fairest Pharaoh of them all.
This highly detailed outfit comprises of a longwhite tunic (not full but higher than the ankle length) with a gold coloured neck collar decorated with colourful intricate detailing, the same design gold draping belt and a pair of matching patterned wrist cuffs in the same design work. Completing this Ancient Egyptian God costume is an oversized headpiece which in the same set with gold fabric hat. 
Perfect for any fancy dress party, World Book Day or School Play.  

Pls note: There might be a slight difference between two similar products but nevertheless, the quality will be superior!",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/egyptian-boy.jpeg?v=1581597142
king-costume-for-kids-white-and-red,"King Costume for Kids White and Red","Includes a White shirt with Golden design
Golden Belt
Blue bottoms
A Cloth Crown
A Red and White Cape
A Sword

Earn your Right to the Throne and become the Most Powerful Monarch of all Time when you Choose this Fantastic Historical Costume.
A great looking outfit for a historical themed fancy dress party or School play.
 
Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151128497167166king-white.jpg?v=1581597239
kids-bee-costume,"Kids Bee Animal Costume","Hood with antenna and tunic with attached wings
Colors: Black and Yellow


A combination of quality fabric will form a bee costume which you will wear to act as desired character. it will make you exciting and happy.

Complete bee costume
Hood with antenna and tunic with attached wings
Fun costume for Halloween, stage performances or play time",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151957031097338WhatsApp-Image-2018-02-25-at-4.10.51-PM.jpg?v=1581542362
premium-santa-claus-christmas-kids-costume,"Premium Santa Claus Christmas Kids Costume","Included with Hat &amp; Belt


This premium santa suit is designed for children. It is a classic red santa suit style, increasing the Christmas festival atmosphere. It is made of quality, soft, durable and comfortable fabric. Perfect for Christmas party, family pary and other holidays. A good present for your little one and your friends' little ones!

* Pls note that the picture is just a representation of the item and gives an idea of the item.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,70.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151264648637436santa-costume1.jpg?v=1581543087
beetle-kids-costume,"Beetle Kids Animal Costume","Your child would surely look sweet and sassy in this Child Totally Ladybird Insect Costume.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151955454743022beetle-other.jpg?v=1581541117
ladybird-girls-costume-dress,"Ladybird Beetle Girls Animal Costume Dress","Material: Satin

Includes red black-dotted dress, red black-dotted wings, head ornament with antennas.

Great for dress up parties, pretend play, stage performances, birthday parties, bugs &amp; insects parties, cosplay and cosplayers.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,2-3,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151955271563064ladybird.jpg?v=1619010112
halloween-demon-kids-costume,"Halloween Demon Kids Costume","Description
In this iconic Halloween Demon Kids Costume, any child can be the scariest kid on the block as they bring to life the infamous killer from the horror film series, 'Scream.' Your friends will cower from you when you show up in this miniature reproduction of the legendary Ghost Face killer. The dark black robe will keep you hidden in the night, while the memorable white mask will instill fear in those around you. Woodbury's killers will have nothing on you as you make your friends scream!","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,Small,continue,56.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/150747921268428demon.jpg?v=1581597600
military-blue-uniform-kids-costume,"UAE Military Blue Uniform Kids Costume","Description
A high quality of woven cotton will form a military costume which you will wear to act as desired character. it will boost your power and make you feel like a professional.",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,103.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/151107269674379military-blue.jpg?v=1582016530
roman-girl-costume,"Roman Girl Costume","Full Toga Dress
Leaf Design Headpiece





Description
Help your kiddo rule over Ancient Rome as royalty or protect the empire as one of its many goddesses with this Girls Roman Princess Costume. This lovely 2 piece costume includes a a majestic ivory Toga Robe and a beautiful Leaf Headpiece. The elegant red sash is attached at the right shoulder so your little princess won’t have to worry about adjusting it. She’ll have a most memorable dress-up experience in this beautiful ensemble!

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,2-3,continue,92.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/roman-girl-278.jpg?v=1582016536
egyptian-girl-costume,"Egyptian Girl Costume","Includes a White Dress
A Matching Belt
A Headpiece
Matching Wrist Band





Description
Transform your little one into an elegant Egyptian lady with this Egyptian Girl Fancy Dress Costume. Ideal for an Egyptian themed fancy dress occasion at school or at a royal costume party. Costumes consists of a white dress with an Egyptian style belt, matching collar, wrist band and a lovely gem headpiece to finish off the look. Your girl will be thrilled and will be walking like an Egyptian in no time!

Pls note: There might be a slight difference between two similar products but nevertheless, the quality will be superior!",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,2-3,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/egyptian-girl1.jpg?v=1581597819
irish-tudor-girl-costume,"Irish Tudor Girl Kids Costume","Includes Green Dress
Attached White Lace Collar, Skirt and Sleeve Trimmings
White Hat





Description
The pretty costume includes everything for turning your Little Girl into a mischevious Leprechaun and comprises of a cute green and white velour look dress decorated with intricate lace and bow detailing, a white apron and a white hat giving it a tudor look. Perfect for getting into the spirit of things this St Patrick's day!

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,2-3,continue,89.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/148813840184637irish.jpg?v=1581542189
horse-kids-costume,"Horse Kids Animal Costume","Includes one-piece Jumpsuit and a Back Zipper
Separate Head mask with attached Ears &amp; Mane with Opening for the Eyes
Material - Jersey/ Polyester


Child Horse Costume comes complete with an All in One Jumpsuit. The Jumpsuit also includes an attached Tail. Completing the Outfit with the Character complete Headpiece with attached Ears and Mane, with an opening for the Eyes. Your little horse will make an adorable addition to any barnyard-themed shenanigans!

Pls Note: Size can be exchanged within 1 day of delivery free of cost. Pls call on the contact number or email on support@emarkiz.com",Sharjah,"Apparel & Accessories > Clothing","Kids Costumes",true,,,Size,2-3,continue,69.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/horse-jersey.jpg?v=1581597938
police-costume-set-for-kids,"Police Costume Set for Kids","One Size Fits All from Ages 3-8 years



This police costume is fun for almost every occasion.
Police child Costume includes Shirt, Hat, Handcuffs and Key, a Whistle, Pistol gun and a badge.
Your child can protect and serve with this amazing police child costume.
 Play cops and robbers with this police officer costume.
Handcuffs your friends at the next child costume party with this classic character costume.","Chetna Trading","Apparel & Accessories > Clothing","Kids Costumes",true,,,,,continue,65.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/1521268935867340952-8-_E6_8B_B7_E8_B4_9D.jpg?v=1581597992
