Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
paraben-free-barex-jcl-colour-protection-conditioner-1000-ml,"Paraben Free Barex JCL Colour Protection Conditioner 1000ml",1000ml,Enigma,,,false,,,,,shopify,10,continue,200.00,100.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Paraben_Free_Barex_JCL_Colour_Protection_Conditioner_1000_ml_0e259e68-6532-4e14-a153-9f4dfa8968ba_1080x1080_pad_ffffff.jpg.jpg?v=1647413400
paraben-and-sulphate-free-barex-aeto-fortifying-conditioner-bamboo-hibiscus-1000-ml,"Organic Paraben & Sulphate Free Barex AETO Fortifying Conditioner Bamboo & Hibiscus 1000ml","Moisturizes, repairs and detangles while reinforcing hairs structure and natural shine Results have proven that with only four treatments, hair breakage is reduced by 47 percent Bamboo is rich in elements that provide strenght and vitaly to hair Use after washing hair with AETO Botanica Bamboo & Hibiscus Fortifying Shampoo Made in Italy by Barex Italiana. Paraben and Sulfate FREE",Enigma,,,false,,,,,shopify,9,continue,130.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Paraben_and_Sulphate_Free_Barex_AETO_Fortifying_Conditioner_Bamboo_Hibiscus_1000_ml_3440987d-3132-4af3-856c-0a316ec61e93_1080x1080_pad_ffffff.jpg.jpg?v=1647412607
paraben-and-sulphate-free-barex-aeto-fortifying-conditioner-bamboo-hibiscus-250-ml,"Organic Paraben and Sulphate Free Barex AETO Fortifying Conditioner Bamboo & Hibiscus 250ml","Moisturizes, repairs and detangles while reinforcing hairs structure and natural shine Results have proven that with only four treatments, hair breakage is reduced by 47 percent Bamboo is rich in elements that provide strenght and vitaly to hair Use after washing hair with AETO Botanica Bamboo & Yucca Fortifying Shampoo Made in Italy by Barex Italiana. Paraben and Sulfate FREE",Enigma,,,false,,,,,shopify,10,continue,200.00,65.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Paraben_and_Sulphate_Free_Barex_AETO_Fortifying_Conditioner_Bamboo_Hibiscus_250_ml_5ffbabac-f2b9-4dc4-acb8-d429b9d9a352_1080x1080_pad_ffffff.jpg.jpg?v=1647337447
paraben-free-barex-odm-hydrating-conditioner-blonde-fine-hair-750ml,"Paraben Free Barex OlioSeta Argan & Linseed Oil Hydrating Conditioner 750ml","Barex Italiana OlioSeta Argan & Linseed Oil Hydrating Conditioner For Blonde-Fine Hair (6.76 oz.) A light and creamy formula where Argan Oil unveils its magical properties to fulfill the needs of fine or blonde hair. Precious and rare, Argan Oil immediately gives hair hydration, shine and protection. Rich in Omega 6 e Phytosterols, it helps strengthen the fiber and hair instantly becomes compact and full of body. It helps prevent the formation of split ends and increases hair's resistance to breakage. Linseed Oil protects hair from external aggressions and smoothes the surface of the fiber for a super shiny effect. Blonde hues are enhanced and hair is completely hydrated and easy to comb. For a spell-binding and instant conditioning effect that lasts in time.",Enigma,,,false,,,,,shopify,9,continue,600.00,115.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Paraben_Free_Barex_ODM_Hydrating_Conditioner_Blonde-Fine_Hair_750ml_014baffe-9fe5-4412-bfaa-44c38f0b98c8_1080x1080_pad_ffffff.jpg.jpg?v=1647412647
paraben-free-barex-odm-hydrating-conditioner-blonde-fine-hair-200ml,"Paraben Free Barex OlioSeta Argan & Linseed Oil Hydrating Conditioner 200ml","Barex Italiana OlioSeta Argan & Linseed Oil Hydrating Conditioner For Blonde-Fine Hair (6.76 oz.) A light and creamy formula where Argan Oil unveils its magical properties to fulfill the needs of fine or blonde hair. Precious and rare, Argan Oil immediately gives hair hydration, shine and protection. Rich in Omega 6 e Phytosterols, it helps strengthen the fiber and hair instantly becomes compact and full of body. It helps prevent the formation of split ends and increases hair's resistance to breakage. Linseed Oil protects hair from external aggressions and smoothes the surface of the fiber for a super shiny effect. Blonde hues are enhanced and hair is completely hydrated and easy to comb. For a spell-binding and instant conditioning effect that lasts in time.",Enigma,,,false,,,,,shopify,10,continue,402.00,70.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Paraben_Free_Barex_ODM_Hydrating_Conditioner_Blonde-Fine_Hair_200ml_1c8d3dbb-b0eb-4a21-9b30-31b5c2b8c2b0_1080x1080_pad_ffffff.jpg.jpg?v=1647337387
paraben-and-sulfate-free-barex-joc-care-curl-reviving-hair-shampoo,"Paraben and Sulphate Free Barex JOC Care Curl Reviving Hair Shampoo 250ml","250 ml Sodium Lauryl Sulfate (SLS) Free Paraben Free Dermatologically Tested Country of Origin: Italy A gentle cleanser, designed specifically to care for curly hair.Â Does not make your hair worse.Â As a result of using shampoo, the hair becomes soft and docile. Rose oil: softens and condenses curly hair, makes them healthy and supple. Florentine lily (iris): having nutritional and moisturizing properties, as well as the ability to increase the elasticity of hair, iris restores the hair, they become strong and shiny. Panthenol: gives the right level of hydration, making hair silky to the touch. Other active ingredients: Lactic acid, conditioning polymers Directions for use: apply the shampoo to damp hair and scalp with gentle massage movements until the foam forms, leave for a few minutes, then rinse off with water.Â For best results, use the JOC CARE IDEAL KUDRY together with the MASK.",Enigma,,,false,,,,,shopify,10,continue,235.00,59.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077216074831barex-joc-care-curl-reviving-shampoo-250ml-Curl_b294158b-90fe-46b7-ac31-f7f21a242758_1080x1080_pad_ffffff.jpg.jpg?v=1645794408
barex-joc-color-line-protection-shampoo-apricot-almond,"Paraben and Sulphate Free Barex JOC Color Protection Shampoo - Apricot & Almond 250ml","Sodium Lauryl Sulfate (SLS) Free 250 ml Paraben Free Dermatologically Tested Apricot & Almond For Colored Hair Country of Origin: Italy Description Designed to preserve color and protect colored hair.Â Permanently retains color and maintains its brightness.Â Ideal care for intensifying the intensity and depth of color.Â Shampoo ""Persistence of color"" with apricot and almonds from Barex Italiana is created by a unique recipe.Â To curls were protected and well-moistened, distinguished by a special silkiness and preserved color saturation, Italian experts chose apricot kernel oil, which is saturated with antioxidants and vitamin E. To give the strands of silkiness, deep nourishment of hair, they stopped on almond oil.Â The product does not contain parasols hazardous to health and sodium lauryl sulfate.Â Apricot kernel oil: rich in antioxidants and vitamin E, protects and moisturizes hair, gives them softness and shine, permanently retains color. Almond oil: rich in fatty acids, deeply nourishes the hair, so that they become silky to the touch. Other active ingredients: Conditioning polymers, sunflower extract Mode of application: Apply the shampoo to wet hair and scalp with gentle massage movements until the foam forms, leave for a few minutes, then rinse with water.Â For best results, use together with conditioner balm with apricot kernel oil and almonds ""Color fastness"".",Enigma,,,false,,,,,shopify,10,continue,235.00,59.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077208203394barex-joc-color-line-color-protection-shampoo-250ml_039b3260-0e5b-4298-830e-0db2cb101bb8_1080x1080_pad_ffffff.jpg.jpg?v=1645794409
paraben-and-sulfate-free-barex-joc-care-hydro-nourishing-shampoo,"Paraben and Sulphate Free Barex JOC Care Dry Hair Hydro Nourishing Shampoo 250ml","250 ml Sodium Lauryl Sulfate (SLS) Free Paraben Free Dermatologically Tested For Dry and Weakened Hair Aloe vera & Avocado Country of Origin: Italy Description Designed specifically for dry hair.Â Helps restore the natural moisture level of the hair, making them very soft and shiny.Â Hair instantly becomes shiny, strong and easy to lay down. Aloe vera: a plant rich in minerals, vitamins and amino acids, deeply nourishes the hair tissue, strengthening them from the inside. Avocado oil: softens dry and dull hair, making them soft and silky. Made in Italy Directions for use:Â Apply the shampoo to damp hair and scalp with gentle massage movements until the foam forms, leave for a few minutes, then rinse off with water.Â For best results, use together with BALSAM FOR SECOND AND WEARED HAIR OR MASK FOR DRY AND WEARED HAIR JOC Â",Enigma,,,false,,,,,shopify,1,continue,130.00,59.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077210814934hydro-nourishing-shampoo-250ml_ba968720-1d84-494f-9d83-011d8bac722e_1080x1080_pad_ffffff.jpg.jpg?v=1645794411
barex-joc-cure-shampoo-for-dandruff-treatment-250ml,"Paraben & Sulphate Free Barex JOC Cure Shampoo for Dandruff Treatment 250ml","250 ml For Anti-Dandruff Sodium Lauryl Sulfate (SLS) Free Paraben Free Dermatologically Tested Country of Origin: Italy Description Incredibly delicate, formulated to calm and give relief to the skin thanks to the complex of officinal herbs. Rich in flavonoids, gives immediate relief to the skin and calms the irritations. Performs an emollient and decongestant action, relaxing the skin and increasing its elasticity. Thanks to its soothing properties, it gives a pleasant sensation of well-being and freshness. How To Use: Distribute on damp hair, massage and leave for a few minutes, rinse.",Enigma,,,false,,,,,shopify,10,continue,260.00,59.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077346851164timthumb-9_8f4bff43-422e-48fc-a50a-6580e26e212e_1080x1080_pad_ffffff.jpg.jpg?v=1645794412
paraben-free-barex-joc-care-smoothing-shampoo,"Paraben Free Barex JOC Care Frizzy & Unruly Hair Smoothing Shampoo 250ml","250 ml Sodium Lauryl Sulfate (SLS) Free Paraben Free Dermatologically Tested Country of Origin: Italy For Naughty and Curly Hair A soft and nutritious remedy, ideal for giving tough, naughty hair smoothness, softness and silkiness for a long time. Flax seed: Rich in vitamin F, it creates a light, invisible film on the surface of the hair that protects hair from moisture and harmful environmental influences, and also prevents loss of moisture. Magnolia Extract: Helps cope with unruly hair, gives them a gorgeous glow. Directions for use: apply the shampoo to damp hair and scalp with gentle massage movements until the foam forms, leave for a few minutes, then rinse off with water.Â For best results, use JOC CARE with a JUNCTION MASK.",Enigma,,,false,,,,,shopify,8,continue,226.00,65.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/152077250092954joc-mooth-shampoo-200ml_ebbc3d67-7e42-436f-b332-a58d4c6f6df5_1080x1080_pad_ffffff.jpg.jpg?v=1645794414
